# final_px,gauss
4.998890459537506104e-01,6.108778994530439377e-03
5.243783593177795410e-01,9.921235032379627228e-03
5.502707362174987793e-01,1.579399779438972473e-02
5.776301622390747070e-01,2.464525960385799408e-02
6.065197587013244629e-01,3.769551962614059448e-02
6.370013356208801270e-01,5.651465058326721191e-02
6.691343784332275391e-01,8.305147290229797363e-02
7.029754519462585449e-01,1.196323558688163757e-01
7.385773062705993652e-01,1.689137369394302368e-01
7.759877443313598633e-01,2.337740361690521240e-01
8.152485489845275879e-01,3.171338438987731934e-01
8.563951253890991211e-01,4.217002689838409424e-01
8.994541764259338379e-01,5.496423244476318359e-01
9.444438219070434570e-01,7.022172212600708008e-01
9.913715720176696777e-01,8.793823719024658203e-01
1.040233850479125977e+00,1.079441308975219727e+00
1.091014146804809570e+00,1.298779129981994629e+00
1.143682718276977539e+00,1.531745433807373047e+00
1.198195457458496094e+00,1.770732164382934570e+00
1.254491806030273438e+00,2.006476879119873047e+00
1.312495112419128418e+00,2.228591203689575195e+00
1.372111558914184570e+00,2.426284551620483398e+00
1.433227658271789551e+00,2.589214801788330078e+00
1.495711803436279297e+00,2.708379983901977539e+00
1.559411644935607910e+00,2.776940107345581055e+00
1.624153256416320801e+00,2.790870428085327148e+00
1.689741611480712891e+00,2.749356031417846680e+00
1.755957722663879395e+00,2.654883623123168945e+00
1.822558283805847168e+00,2.513018131256103516e+00
1.889275789260864258e+00,2.331910371780395508e+00
1.955814599990844727e+00,2.121614694595336914e+00
2.021851539611816406e+00,1.893336892127990723e+00
2.087033748626708984e+00,1.658737778663635254e+00
2.150975704193115234e+00,1.429413557052612305e+00
2.213258028030395508e+00,1.216637253761291504e+00
2.273425102233886719e+00,1.031382918357849121e+00
2.330982685089111328e+00,8.845650553703308105e-01
2.385392904281616211e+00,7.873252034187316895e-01
2.436074256896972656e+00,7.511036396026611328e-01
2.482396125793457031e+00,7.871924638748168945e-01
2.523673772811889648e+00,9.055098295211791992e-01
2.559168577194213867e+00,1.112510561943054199e+00
2.588080644607543945e+00,1.408435821533203125e+00
2.609544754028320312e+00,1.784462332725524902e+00
2.622628927230834961e+00,2.220606088638305664e+00
2.626328229904174805e+00,2.685332775115966797e+00
2.619565725326538086e+00,3.137600898742675781e+00
2.601189136505126953e+00,3.531507968902587891e+00
2.569974899291992188e+00,3.822944164276123047e+00
2.524637222290039062e+00,3.976927042007446289e+00
2.463839054107666016e+00,3.973880052566528320e+00
2.386222600936889648e+00,3.813237905502319336e+00
2.290456056594848633e+00,3.513394117355346680e+00
2.175309896469116211e+00,3.108000755310058594e+00
2.039783000946044922e+00,2.639599561691284180e+00
1.883298516273498535e+00,2.152221441268920898e+00
1.706012129783630371e+00,1.684695601463317871e+00
1.509259939193725586e+00,1.266011834144592285e+00
1.296193242073059082e+00,9.133424162864685059e-01
1.072527527809143066e+00,6.325685381889343262e-01
8.471744656562805176e-01,4.205898344516754150e-01
6.321640610694885254e-01,2.684643268585205078e-01
4.410070478916168213e-01,1.645094007253646851e-01
2.851715087890625000e-01,9.677670896053314209e-02
1.700936257839202881e-01,5.465462058782577515e-02
9.351018071174621582e-02,2.963184379041194916e-02
4.749060794711112976e-02,1.542290393263101578e-02
2.236327156424522400e-02,7.706359960138797760e-03
9.804193861782550812e-03,3.696647472679615021e-03
4.019545856863260269e-03,1.702324487268924713e-03
1.549547421745955944e-03,7.525792461819946766e-04
5.658044246956706047e-04,3.194020537193864584e-04
1.976255880435928702e-04,1.301363809034228325e-04
6.688457506243139505e-05,5.090204649604856968e-05
2.228639277745969594e-05,1.911381332320161164e-05
7.449260010616853833e-06,6.890249551361193880e-06
2.549855253164423630e-06,2.384504341534920968e-06
9.131123874794866424e-07,7.922037070784426760e-07
3.491661573207238689e-07,2.526685420889407396e-07
1.451469984203868080e-07,7.736437623862002511e-08
6.649682404713530559e-08,2.274083854558739404e-08
3.385692437518628140e-08,6.417228970434507573e-09
1.920566283786229178e-08,1.738458377253948584e-09
1.209953648384498592e-08,4.521231722343088677e-10
8.398449935498319974e-09,1.128820925622164850e-10
6.349671899386066798e-09,2.705635368527303797e-11
5.159490612527406483e-09,6.225720459995809364e-12
4.443680090560064855e-09,1.375265027726835232e-12
4.003534836982680645e-09,2.916487038852333402e-13
3.729690778442318333e-09,5.937604059683479485e-14
3.558359829014534625e-09,1.160489178440426289e-14
3.450689955997177094e-09,2.177465903440735373e-15
3.382340851842968732e-09,3.922336940004767392e-16
3.337959242344368249e-09,6.783072267092449194e-17
3.307967899601749195e-09,1.126170008043994846e-17
3.286535044111360548e-09,1.795110349030168912e-18
3.270258286391936053e-09,2.747335647987684642e-19
3.257223157859812090e-09,4.037454352704549826e-20
3.246368951437261785e-09,5.698419370999748004e-21
3.237137669032108533e-09,7.726626247198208020e-22
